"metabolite","AIC","Estimate","Std. Error","z value","Pr(>|z|)","qOrFDR"
"X288.2893_5.38","-1113.88113066919","0.000382429722641041","0.000594366304153822","0.643424299070071","0.51994882056965",0.73901355207869
"X171.0991_2.1","-628.316646101123","2.94747993785325e-05","0.000381419550431372","0.0772765825590156","0.938403519601157",0.964524044119815
"X192.1595_0.39","-1037.28026778395","0.000140324882182398","8.15413323193729e-05","1.72090494711059","0.0852680737401987",0.299294304413405
"X437.1931_5.94","-1100.3513643963","0.000672445086026729","0.00054422031227441","1.23561188522428","0.216602864695323",0.500170549548818
"X132.102_0.47","-577.851817850119","-0.0119700229660125","0.0060885807343835","-1.96597918106189","0.049301015525251",0.218834142056861
"X496.3397_6.81","-412.421818606313","0.0276267356401913","0.00876982013402149","3.15020550227896","0.00163155654435575",0.0272549860292248
"X104.1073_0.28","-427.301464459899","-0.0153807231361353","0.00765901159548379","-2.00818642776369","0.0446234847110587",0.218834142056861
"X166.0863_0.63","-640.573565685743","-0.00995233219896308","0.00443481864767783","-2.24413510215899","0.0248237100631006",0.161642763201585
"X226.9513_0.25","-764.938281393875","0.00207218816600086","0.00236507099388089","0.876163198213581","0.380941320048444",0.646445876445844
"X116.0708_0.3","-892.087413876744","-0.00216472613431172","0.00136442247466575","-1.58655121452909","0.112614324075935",0.342739247187628
"X162.1124_0.3","-853.913298714375","0.000995504254212869","0.00147022592561551","0.677109712778394","0.498336346829408",0.726740505792887
"X140.0682_0.29","-927.091365503495","0.00303749540634999","0.00112787229816824","2.69311996693521","0.00707867933464992",0.0825845922375824
"X114.0664_0.29","-1047.02923819634","-0.000215937717732699","0.000677370740233732","-0.318788080007985","0.749887217840246",0.87486842081362
"X86.0969_0.45","-403.379835021085","-0.00567884800526695","0.00200282575176143","-2.83541790905802","0.00457657751176276",0.0640720851646786
"X120.081_0.63","-956.77110994564","-0.00280935206765756","0.00122976342330816","-2.28446546255228","0.0223441901267974",0.150101397541058
"X90.0554_0.3","-1161.69572810982","-0.000673622709704287","0.000549382742067016","-1.22614464948394","0.220144246121586",0.501141373284911
"X182.0812_0.45","-1079.86523264047","-0.000792250056115155","0.000939708236970699","-0.843080889307836","0.399183206053883",0.65268932678918
"X415.2111_5.94","-1152.91884974613","0.000153224263385347","0.000443827852552688","0.345233546078898","0.729918801183567",0.87486842081362
"X304.2842_5.53","-1249.01574373376","-0.000578955228469282","0.00029523876342372","-1.96097294865843","0.0498821785996114",0.218834142056861
"X203.0527_0.29","-876.374661915344","0.0046942203965486","0.00239768364900113","1.95781474278485","0.0502517548535905",0.218834142056861
"X156.0421_0.28","-987.075767045142","0.00111526170182403","0.000773905357852047","1.44108280232019","0.149561291480279",0.414625362519585
"X136.0482_0.29","-1420.8836271914","0.000161323351405822","0.000110568703355722","1.45903267841365","0.144556113678205",0.408845574039368
"X147.0764_0.3","-963.857280445774","0.000956906020387107","0.00110685539826066","0.864526677911869","0.387298631612997",0.65268932678918
"X288.2893_5.47","-1247.3710874949","0.000212488103249231","0.000285499293574095","0.744268402871142","0.456714112864154",0.703362643232422
"X130.05_0.29","-672.253477389378","0.000211337777228906","0.000657650306134268","0.32135281510195","0.747943036367734",0.87486842081362
"X120.0657_0.3","-1378.48395471561","0.000104194653700324","0.000183772624481507","0.566975924702045","0.570730538637971",0.765902033509336
"X173.0784_0.54","-560.840266561492","-0.000118587447109221","0.000173461357445687","-0.683653401861289","0.494194054887804",0.72510435794027
"X524.3712_7.63","-493.106583594486","0.01271385532618","0.00697291820061084","1.82331915568237","0.06825506670269",0.254818915690043
"X362.9259_0.25","-1153.28096690761","0.000467343736582384","0.000459546809807269","1.01696655619998","0.309169339407627",0.592927500233805
"X294.9385_0.25","-1197.09946094624","0.000371774698620653","0.000404221796940201","0.919729468907518","0.357714148958491",0.637961539543806
"X132.0769_0.3","-680.337251200389","-7.65655364830174e-05","0.00351593220436094","-0.021776738581037","0.982626049709888",0.994406331120731
"X316.3206_5.96","-1210.36018378354","-5.29545991433372e-05","0.000179409909014761","-0.295159835006551","0.767871782849819",0.884790531678804
"X432.2377_5.94","-1107.36650693468","9.77470482936902e-05","0.000202934579833164","0.481667778719869","0.630041968960885",0.796220942708731
"X106.0502_0.29","-946.622708514113","-2.81763319284637e-05","0.000251847258908997","-0.111878652364626","0.910919623266377",0.962481111375795
"X130.05_0.42","-1002.66922719713","-0.00176626526245989","0.000895086282064054","-1.97329050601346","0.0484624739687254",0.218834142056861
"X225.0346_0.3","-1229.01844636211","0.000733698803469632","0.000231857605183629","3.1644370814947","0.00155383254159546",0.0272549860292248
"X255.6452_7.9","-668.31126131653","-6.797452828367e-05","6.81886595885098e-05","-0.99685972262643","0.318832604397602",0.603196819130598
"X177.1346_0.28","-621.773715967046","-0.000180345858047273","0.000323515759755238","-0.557456175191333","0.57721579376441",0.765902033509336
"X230.9823_0.4","-751.936321465243","0.000110328103202074","0.000364434162407167","0.302738092590806","0.762089465488501",0.884509021398941
"X242.9252_0.25","-1036.65914051728","0.000347834468608708","0.000729548938882675","0.47678017206279","0.633518666355989",0.796220942708731
"X158.9641_0.25","-1092.80626681716","0.000355617171570328","0.000612653926803872","0.580453590537699","0.561608774776317",0.765902033509336
"X430.9134_0.25","-1202.01853261617","0.000339739779949436","0.000359109024296372","0.946063053177548","0.344116427004205",0.637961539543806
"X184.0944_0.28","-806.583107309063","0.000752642847393788","0.000457286776024133","1.64588806599137","0.0997868063983976",0.317503474903992
"X82.9454_0.29","-1208.44776804159","0.000146645164896883","0.00026478375584778","0.553829914631119","0.579695253382586",0.765902033509336
"X188.0706_1.13","-1005.72445412274","-9.48322895831232e-05","0.000711273695966435","-0.133327423916993","0.893934440061001",0.958996264151383
"X244.1904_4.84","-1392.30856998346","0.000105619283426958","0.000124481887515862","0.848471095150281","0.396175663367395",0.65268932678918
"X144.1019_0.32","-956.108068867254","-0.000758931997766016","0.00114696453675271","-0.661687413557445","0.508171572753885",0.733443507067463
