"metabolite","AIC","Estimate","Std..Error","z.value","Pr...z..","qOrFDR"
"X200.2373_5.42",-278.77013289465,0.000277268444049327,5.30335222550371e-05,5.22817328096649,1.71193027740578e-07,7.25858437620051e-05
"X129.0659_0.31",-292.570664900982,0.000307541902699212,7.06102747808472e-05,4.35548372604027,1.32773381597256e-05,0.00281479568986183
"X590.3212_6.53",-244.419209938798,0.000212774952477346,5.61486798483523e-05,3.78949163278662,0.000150955895713256,0.0160013249456051
"X146.9803_11.15",-244.240585757539,0.00265085165554359,0.000698802693653567,3.79341934371215,0.000148586909848294,0.0160013249456051
"X313.2369_5.8",-169.783688561219,-0.000129180579156114,3.49969969534723e-05,-3.69119039921787,0.000223206970291131,0.0189279510806879
"X566.3211_6.53",-718.310384314287,0.000213661181581513,6.17511525654787e-05,3.46003552492327,0.00054010412779708,0.0327148785979946
"X400.3417_6.6",-828.865791975984,-0.00067047116173824,0.000191879262659351,-3.49423461631989,0.000475423015799461,0.0327148785979946
